Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1927,NYY,1725,6222,158,976,908,90,10.30%,9.80%,0.181,0.324,0.307,0.384,0.488,0.4,,126,-14.2,203.4,76.2,49.3
1976,CIN,2135,6538,141,857,802,210,10.40%,13.80%,0.144,0.309,0.28,0.357,0.424,0.357,,120,19,166.6,39.2,45.9
1931,NYY,1751,6473,155,1067,990,139,11.60%,8.60%,0.16,0.309,0.297,0.383,0.457,0.387,,124,-3.4,206.3,18.8,45
1939,NYY,1550,6129,166,967,904,72,11.40%,8.90%,0.164,0.295,0.287,0.374,0.451,0.38,,113,-4.6,104.2,129.7,44.7
1969,BAL,1981,6328,175,779,722,82,10.00%,12.70%,0.148,0.281,0.265,0.343,0.414,0.341,,112,1.7,86.9,150.9,44.6
2001,SEA,2043,6474,169,927,881,174,9.50%,15.30%,0.157,0.32,0.288,0.36,0.445,0.347,,116,16.2,143,84.6,44.4
1975,CIN,2148,6419,124,840,779,168,10.80%,14.30%,0.13,0.303,0.271,0.353,0.401,0.345,,111,20.8,103.6,99.2,43.2
2019,HOU,2309,6394,288,920,891,67,10.10%,18.20%,0.221,0.296,0.274,0.352,0.495,0.355,,124,-9.5,187.8,15,42.1
1948,CLE,1893,6201,155,840,801,54,10.40%,9.30%,0.15,0.292,0.282,0.36,0.431,0.369,,113,-10.4,97.1,112.8,41.9
1973,BAL,1707,6335,119,754,692,146,10.20%,11.90%,0.123,0.287,0.266,0.345,0.389,0.334,,111,7.3,85.1,98.2,41.2
1953,BRO,1893,6138,208,955,887,90,10.70%,11.20%,0.189,0.295,0.285,0.366,0.474,0.379,,115,3.9,127.6,80.8,40.5
1936,NYY,1650,6391,182,1065,997,77,11.00%,9.30%,0.184,0.31,0.3,0.381,0.483,0.394,,113,-6.2,124.2,68.7,40.4
1905,NYG,1530,5839,39,778,642,291,8.90%,,0.095,,0.273,0.351,0.368,0.35,,113,15.3,102.3,63.7,40.4
1942,NYY,1596,6009,108,801,744,69,9.80%,9.30%,0.125,0.285,0.269,0.346,0.394,0.353,,109,-1.7,62.3,104.3,39.4
1971,BAL,1829,6143,158,742,702,66,10.90%,13.70%,0.138,0.282,0.261,0.347,0.398,0.339,,112,0.5,80.4,92.8,39.3
1906,CLE,1531,5987,12,664,548,203,5.50%,,0.078,,0.279,0.325,0.357,0.333,,113,-0.5,77.9,78.8,39.3
2022,LAD,2326,6247,212,847,812,98,9.70%,22.00%,0.185,0.302,0.257,0.333,0.442,0.337,,119,19.9,158.9,1.1,38.9
1902,PIT,1311,5480,18,774,660,222,6.80%,,0.088,,0.286,0.344,0.374,0.346,,119,7.3,127.6,62.6,38.7
1974,CIN,2163,6373,135,776,714,146,10.90%,14.70%,0.135,0.289,0.26,0.343,0.394,0.336,,108,11.8,71.6,90.2,38.6
1930,NYY,1796,6272,152,1062,986,91,10.30%,9.10%,0.179,0.324,0.309,0.384,0.488,0.388,,124,-11.9,203.8,-1.1,38.5
1932,NYY,1712,6344,160,1002,954,77,12.10%,8.30%,0.169,0.293,0.286,0.376,0.454,0.377,,119,-14.9,150.3,20,38.4
1977,PHI,2166,6293,186,847,795,135,9.10%,12.80%,0.169,0.294,0.279,0.346,0.448,0.347,,110,4.1,77,95.8,38.4
1976,NYY,1705,6156,120,730,681,163,7.60%,10.00%,0.119,0.283,0.269,0.328,0.389,0.33,,112,6.9,87.2,80,38.2
1962,SFG,2010,6277,204,878,807,73,8.30%,13.10%,0.163,0.292,0.278,0.341,0.441,0.346,,111,-4.9,84.9,70.9,37.8
1952,NYY,1781,5989,129,727,670,52,9.40%,10.90%,0.136,0.284,0.267,0.341,0.403,0.347,,111,-0.1,75,94.1,37.7
1955,NYY,1958,5942,175,761,717,55,10.20%,11.00%,0.158,0.266,0.26,0.34,0.418,0.34,,107,5.9,59.7,103.2,37.7
1998,ATL,1971,6217,215,826,794,98,8.80%,17.10%,0.181,0.3,0.272,0.342,0.453,0.346,,108,0.8,61.7,124.6,37.6
1974,LAD,2024,6332,139,798,744,149,9.40%,13.00%,0.129,0.294,0.272,0.342,0.401,0.337,,111,2.5,82.4,68.3,37.4
1971,PIT,1996,6283,154,788,744,65,7.50%,14.60%,0.142,0.301,0.274,0.33,0.416,0.335,,112,2.8,86.3,47.9,37.4
1913,PHA,1667,5816,33,794,660,221,9.20%,9.40%,0.096,0.309,0.28,0.356,0.375,0.354,,117,-0.8,111.2,51.1,37.4
1961,NYY,1948,6239,240,827,782,28,8.70%,12.60%,0.179,0.267,0.263,0.33,0.442,0.339,,108,0.3,63.8,111.3,37.3
2017,HOU,2313,6271,238,896,854,98,8.10%,17.30%,0.196,0.309,0.282,0.346,0.478,0.349,,121,-0.4,162.6,2.5,37.3
1906,CHC,1482,5742,20,704,539,283,7.80%,,0.076,,0.262,0.328,0.339,0.328,,107,16.1,56,95.3,37.2
1941,NYY,1668,6137,151,830,774,51,10.00%,9.20%,0.15,0.278,0.269,0.346,0.419,0.357,,106,-6.2,40.7,102.8,37.1
1996,SEA,1736,6518,245,993,954,90,10.30%,16.10%,0.197,0.312,0.287,0.366,0.484,0.367,,112,-1.2,109.5,33.1,37.1
2011,NYY,2301,6306,222,867,836,147,9.90%,18.00%,0.181,0.292,0.263,0.343,0.444,0.345,,113,6.6,101.6,39.7,37
1977,NYY,1724,6261,184,831,784,93,8.50%,10.90%,0.163,0.291,0.281,0.344,0.444,0.347,,117,0.2,123.5,27.7,37
1944,STL,1755,6168,100,772,722,37,8.80%,7.60%,0.126,0.287,0.275,0.344,0.402,0.352,,108,3.9,63.3,99.3,36.9
1970,BAL,1986,6416,179,792,748,84,11.20%,14.80%,0.144,0.279,0.257,0.344,0.401,0.335,,107,3.5,56.3,102.8,36.9
2015,TOR,2337,6231,232,891,852,88,9.10%,18.50%,0.188,0.298,0.269,0.34,0.457,0.344,,117,11,135.9,6.6,36.7
1958,NYY,1821,5971,164,759,717,48,9.00%,13.70%,0.148,0.288,0.268,0.336,0.416,0.334,,111,0.6,74.1,93.2,36.7
1932,PHA,1613,6300,172,981,923,37,10.30%,10.00%,0.167,0.303,0.29,0.367,0.457,0.373,,110,-4.4,87.5,64.4,36.7
1904,NYG,1518,5828,31,744,564,283,7.40%,,0.083,,0.262,0.328,0.344,0.326,,107,17.8,63.7,71,36.7
