Name,Team,League
Arizona Diamondbacks,ARI,National
Atlanta Braves,ATL,National
Baltimore Orioles,BAL,American
Boston Red Sox,BOS,American
Chicago White Sox,CWS,American
Chicago Cubs,CHC,National
Cinncinnati Reds,CIN,National
Cleveland Guardians,CLE,American
Colorado Rockies,COL,National
Detroit Tigers,DET,American
Houston Astros,HOU,American
Kansas City Royals,KC,American
Los Angeles Angels,ANA,American
Los Angeles Dodgers,LA,National
Miami Marlins,MIA,National
Milwaukee Brewers,MIL,National
Minnesota Twins,MIN,American
New York Mets,NYM,National
New York Yankees,NYY,American
Oakland Athletics,OAK,American
Philadelphia Phillies,PHI,National
Pittsburgh Pirates,PIT,National
San Diego Padres,SD,National
San Francisco Giants,SF,National
Seattle Mariners,SEA,American
St. Louis Cardinals,STL,National
Tampa Bay Rays,TB,American
Texas Rangers,TEX,American
Toronto Blue Jays,TOR,American
Washington Nationals,WAS,National
